FAENA,CONDUCTOR,VEHICULO,FECHA,HORA,TURNO,TIPO,Detected type,Duration (sec),VELOCIDAD,Distance covered (metres),SUB TIPO,LATITUD ,LONGITUD
VAR,,1240 - GWKL16,1/8/2020,13:32:41,Día,Distracción,Distracción,"3,13",66.00,57.00,conducción distraída,-33.325541,-70.718346
VAR,,1240 - GWKL16,1/8/2020,13:32:22,Día,Distracción,Distracción,"3,33",74.00,69.00,conducción distraída,-33.328606,-70.716977
VAR,,1650- LLWZ31,1/8/2020,10:34:05,Día,Distracción,Distracción,"3,18",86.00,76.00,conducción distraída,-33.156485,-70.649982
VAR,,1671- LRTK88,1/8/2020,23:33:52,Noche,Distracción,Fatiga,"1,65",90.00,41.00,conducción distraída,-33.669147,-71.136180
VAR,,1650- LLWZ31,1/8/2020,15:58:31,Día,Distracción,Distracción,"3,89",91.00,98.00,conducción distraída,-33.264906,-70.699522
VAR,,1651 - LPBX91,1/8/2020,01:51:01,Noche,Distracción,Fatiga,"1,85",92.00,47.00,conducción distraída,-33.699483,-71.028532
VAR,,1651 - LPBX91,1/8/2020,02:08:35,Noche,Distracción,Fatiga,"1,61",92.00,41.00,conducción distraída,-33.652494,-71.296167
VAR,,1241- GWKL17,1/8/2020,13:42:21,Día,Distracción,Distracción,"3,35",93.00,87.00,conducción distraída,-33.275966,-70.728164
VAR,,1241- GWKL17,1/8/2020,13:42:08,Día,Distracción,Distracción,"3,20",97.00,86.00,conducción distraída,-33.276401,-70.732618
VAR,Manuel Morales,1368 - HWVV83,1/9/2020,11:08:11,Día,Fatiga,Fatiga,"1,60",82.00,37.00,somnolencia,-33.195556,-70.657500
VAR,Manuel Morales,1368 - HWVV83,1/9/2020,11:09:41,Día,Fatiga,Fatiga,"1,75",84.00,41.00,somnolencia,-33.210556,-70.670278
VAR,,1240 - GWKL16,1/9/2020,22:23:35,Noche,Distracción,Fatiga,"1,57",21.00,9.00,conducción distraída,-33.237093,-70.344401
VAR,,1651 - LPBX91,1/9/2020,04:35:58,Noche,Distracción,Fatiga,"1,94",22.00,12.00,conducción distraída,-33.384805,-70.750680
VAR,,1240 - GWKL16,1/9/2020,22:21:34,Noche,Distracción,Fatiga,"2,02",23.00,13.00,conducción distraída,-33.244312,-70.346501
VAR,,1158 - FZFF64,1/9/2020,17:12:12,Día,Distracción,Fatiga,"1,65",30.00,14.00,conducción distraída,-33.148488,-70.281462
VAR,,1240 - GWKL16,1/9/2020,22:30:53,Noche,Distracción,Distracción,"3,96",35.00,39.00,conducción distraída,-33.222941,-70.341731
VAR,,1240 - GWKL16,1/9/2020,23:11:16,Noche,Distracción,Distracción,"3,44",36.00,35.00,conducción distraída,-33.159853,-70.332580
VAR,,1240 - GWKL16,1/9/2020,23:51:44,Noche,Distracción,Distracción,"3,83",36.00,38.00,conducción distraída,-33.308563,-70.357058
VAR,,1240 - GWKL16,1/9/2020,23:09:42,Noche,Distracción,Distracción,"3,07",38.00,32.00,conducción distraída,-33.162857,-70.327130
VAR,,1240 - GWKL16,1/9/2020,23:46:45,Noche,Distracción,Distracción,"3,35",38.00,36.00,conducción distraída,-33.283027,-70.351797
VAR,,1240 - GWKL16,1/9/2020,23:53:39,Noche,Distracción,Distracción,"3,07",38.00,33.00,conducción distraída,-33.317943,-70.360947
VAR,,1240 - GWKL16,1/9/2020,23:23:03,Noche,Distracción,Distracción,"3,20",40.00,36.00,conducción distraída,-33.203912,-70.338441
VAR,,1650- LLWZ31,1/9/2020,08:58:37,Día,Distracción,Distracción,"3,91",41.00,44.00,conducción distraída,-33.383561,-70.756475
VAR,,1240 - GWKL16,1/9/2020,20:45:26,Noche,Distracción,Distracción,"3,22",52.00,47.00,conducción distraída,-33.384911,-70.592810
VAR,,1650- LLWZ31,1/9/2020,09:24:43,Día,Distracción,Distracción,"3,04",87.00,74.00,conducción distraída,-33.149723,-70.655247
VAR,,1652 - LLWZ24(mdef),1/9/2020,13:33:11,Día,Distracción,Distracción,"3,13",91.00,79.00,conducción distraída,-33.152090,-70.653553
VAR,,1240 - GWKL16,1/10/2020,22:44:38,Noche,Distracción,Fatiga,"2,06",20.00,11.00,conducción distraída,-33.174693,-70.336837
VAR,,1650- LLWZ31,1/10/2020,14:16:45,Día,Distracción,Distracción,"3,55",35.00,35.00,conducción distraída,-33.388146,-70.754743
VAR,,1653- LLWZ29,1/10/2020,22:13:54,Noche,Distracción,Distracción,"3,33",36.00,33.00,conducción distraída,-33.232520,-70.345480
VAR,,1240 - GWKL16,1/10/2020,23:28:25,Noche,Distracción,Distracción,"3,33",36.00,33.00,conducción distraída,-33.177651,-70.337422
VAR,,1650- LLWZ31,1/10/2020,09:41:51,Día,Distracción,Distracción,"3,37",50.00,46.00,conducción distraída,-33.094593,-70.746983
VAR,,1650- LLWZ31,1/10/2020,09:35:12,Día,Distracción,Distracción,"3,16",52.00,45.00,conducción distraída,-33.145370,-70.791009
VAR,,1240 - GWKL16,1/10/2020,15:18:01,Día,Distracción,Distracción,"3,20",71.00,63.00,conducción distraída,-33.282164,-70.738146
VAR,,1240 - GWKL16,1/10/2020,00:55:08,Noche,Distracción,Distracción,"3,13",81.00,70.00,conducción distraída,-33.387113,-70.635140
VAR,,1673 - LRTK90,1/10/2020,14:05:38,Día,Distracción,Mirada ausente,"3,74",89.00,92.00,conducción distraída,-33.299167,-70.700556
VAR,,1650- LLWZ31,1/10/2020,09:16:24,Día,Distracción,Distracción,"3,35",90.00,84.00,conducción distraída,-33.273278,-70.741802
VAR,,1650- LLWZ31,1/10/2020,09:17:14,Día,Distracción,Distracción,"3,44",90.00,86.00,conducción distraída,-33.262685,-70.746536
VAR,,1650- LLWZ31,1/10/2020,14:02:20,Día,Distracción,Distracción,"3,31",90.00,83.00,conducción distraída,-33.276112,-70.740829
VAR,,1158 - FZFF64,1/11/2020,01:25:41,Noche,Distracción,Fatiga,"1,87",31.00,16.00,notificación de cierre los ojos,-33.159602,-70.283088
